case_id,project_id,disease_id,voc_id,log2_fold_change,target_ppb,healthy_ppb,primary_site,primary_diagnosis,ajcc_pathologic_stage,stage_num,label_origin,study_id,source
real::cancer_prostate::10.1038/sj.bjc.6605810,cancer_prostate,cancer_prostate,isoprene,-0.25,88.29412360164002,105.0,prostate,Prostate cancer,,2.0,literature:mixed,10.1038/sj.bjc.6605810,literature_panel
real::cancer_prostate::10.1038/sj.bjc.6605810,cancer_prostate,cancer_prostate,2_butanone,0.3,1.4773732960138994,1.2,prostate,Prostate cancer,,2.0,literature:mixed,10.1038/sj.bjc.6605810,literature_panel
real::cancer_prostate::10.1038/sj.bjc.6605810,cancer_prostate,cancer_prostate,pentane,0.45,11.611342182412361,8.5,prostate,Prostate cancer,,2.0,literature:mixed,10.1038/sj.bjc.6605810,literature_panel
real::cancer_prostate::10.1038/sj.bjc.6605810,cancer_prostate,cancer_prostate,acetone,0.35,607.9654192312881,477.0,prostate,Prostate cancer,,2.0,literature:mixed,10.1038/sj.bjc.6605810,literature_panel
real::cancer_prostate::10.1038/sj.bjc.6605810,cancer_prostate,cancer_prostate,hexanal,0.5,5.939696961967,4.2,prostate,Prostate cancer,,2.0,literature:mixed,10.1038/sj.bjc.6605810,literature_panel
real::ards::10.1183/09031936.00005614,ards,ards,pentane,0.6,12.883590815338383,8.5,lung,ARDS,,2.0,literature:mixed,10.1183/09031936.00005614,literature_panel
real::ards::10.1183/09031936.00005614,ards,ards,isoprene,-0.4,79.57511974179589,105.0,lung,ARDS,,2.0,literature:mixed,10.1183/09031936.00005614,literature_panel
real::ards::10.1183/09031936.00005614,ards,ards,nonanal,0.6,7.57858283255199,5.0,lung,ARDS,,2.0,literature:mixed,10.1183/09031936.00005614,literature_panel
real::cancer_prostate::10.1038/sj.bjc.6605810,cancer_prostate,cancer_prostate,formaldehyde,-0.921,0.5809570939435216,1.1,prostate,Prostate cancer,,2.0,literature:mixed,10.1038/sj.bjc.6605810,literature_panel
real::head_neck_cancer::10.1038/bjc.2014.361,head_neck_cancer,head_neck_cancer,decanal,0.45,5.190952975666702,3.8,head_neck,Head and neck cancer,,2.0,literature:mixed,10.1038/bjc.2014.361,literature_panel
